sim_nr,wall_setup,bollard_type,particles,time_s,total_exited
66,wallie1,close,1500,52,1435
66,wallie1,close,1500,53,1447
66,wallie1,close,1500,54,1457
66,wallie1,close,1500,55,1465
66,wallie1,close,1500,56,1472
66,wallie1,close,1500,57,1479
66,wallie1,close,1500,58,1483
66,wallie1,close,1500,59,1487
66,wallie1,close,1500,60,1490
66,wallie1,close,1500,61,1493
66,wallie1,close,1500,62,1495
66,wallie1,close,1500,63,1496
66,wallie1,close,1500,64,1497
66,wallie1,close,1500,65,1498
66,wallie1,close,1500,66,1499
66,wallie1,close,1500,67,1499
67,wallie1,close,1500,0,0
67,wallie1,close,1500,1,0
67,wallie1,close,1500,2,0
67,wallie1,close,1500,3,0
67,wallie1,close,1500,4,0
67,wallie1,close,1500,5,0
67,wallie1,close,1500,6,0
67,wallie1,close,1500,7,0
67,wallie1,close,1500,8,0
67,wallie1,close,1500,9,0
67,wallie1,close,1500,10,0
67,wallie1,close,1500,11,0
67,wallie1,close,1500,12,0
67,wallie1,close,1500,13,0
67,wallie1,close,1500,14,0
67,wallie1,close,1500,15,6
67,wallie1,close,1500,16,23
67,wallie1,close,1500,17,47
67,wallie1,close,1500,18,81
67,wallie1,close,1500,19,123
67,wallie1,close,1500,20,168
67,wallie1,close,1500,21,220
67,wallie1,close,1500,22,276
67,wallie1,close,1500,23,330
67,wallie1,close,1500,24,389
67,wallie1,close,1500,25,447
67,wallie1,close,1500,26,503
67,wallie1,close,1500,27,560
67,wallie1,close,1500,28,620
67,wallie1,close,1500,29,680
67,wallie1,close,1500,30,735
67,wallie1,close,1500,31,789
67,wallie1,close,1500,32,848
67,wallie1,close,1500,33,900
67,wallie1,close,1500,34,951
67,wallie1,close,1500,35,999
67,wallie1,close,1500,36,1040
67,wallie1,close,1500,37,1074
67,wallie1,close,1500,38,1113
67,wallie1,close,1500,39,1147
67,wallie1,close,1500,40,1177
67,wallie1,close,1500,41,1213
67,wallie1,close,1500,42,1244
67,wallie1,close,1500,43,1274
67,wallie1,close,1500,44,1300
67,wallie1,close,1500,45,1326
67,wallie1,close,1500,46,1348
67,wallie1,close,1500,47,1371
67,wallie1,close,1500,48,1387
67,wallie1,close,1500,49,1406
67,wallie1,close,1500,50,1420
67,wallie1,close,1500,51,1434
67,wallie1,close,1500,52,1444
67,wallie1,close,1500,53,1454
67,wallie1,close,1500,54,1464
67,wallie1,close,1500,55,1471
67,wallie1,close,1500,56,1477
67,wallie1,close,1500,57,1482
67,wallie1,close,1500,58,1486
67,wallie1,close,1500,59,1490
67,wallie1,close,1500,60,1492
67,wallie1,close,1500,61,1494
67,wallie1,close,1500,62,1496
67,wallie1,close,1500,63,1496
67,wallie1,close,1500,64,1498
67,wallie1,close,1500,65,1498
67,wallie1,close,1500,66,1499
68,wallie1,close,1500,0,0
68,wallie1,close,1500,1,0
68,wallie1,close,1500,2,0
68,wallie1,close,1500,3,0
68,wallie1,close,1500,4,0
68,wallie1,close,1500,5,0
68,wallie1,close,1500,6,0
68,wallie1,close,1500,7,0
68,wallie1,close,1500,8,0
68,wallie1,close,1500,9,0
68,wallie1,close,1500,10,0
68,wallie1,close,1500,11,0
68,wallie1,close,1500,12,0
68,wallie1,close,1500,13,0
68,wallie1,close,1500,14,0
68,wallie1,close,1500,15,4
68,wallie1,close,1500,16,20
68,wallie1,close,1500,17,45
68,wallie1,close,1500,18,80
68,wallie1,close,1500,19,120
68,wallie1,close,1500,20,165
68,wallie1,close,1500,21,216
68,wallie1,close,1500,22,268
68,wallie1,close,1500,23,326
68,wallie1,close,1500,24,379
68,wallie1,close,1500,25,431
68,wallie1,close,1500,26,483
68,wallie1,close,1500,27,540
68,wallie1,close,1500,28,593
68,wallie1,close,1500,29,644
68,wallie1,close,1500,30,708
68,wallie1,close,1500,31,758
68,wallie1,close,1500,32,807
68,wallie1,close,1500,33,859
68,wallie1,close,1500,34,912
68,wallie1,close,1500,35,957
68,wallie1,close,1500,36,1001
68,wallie1,close,1500,37,1045
68,wallie1,close,1500,38,1085
68,wallie1,close,1500,39,1124
68,wallie1,close,1500,40,1161
68,wallie1,close,1500,41,1195
68,wallie1,close,1500,42,1228
68,wallie1,close,1500,43,1257
68,wallie1,close,1500,44,1285
68,wallie1,close,1500,45,1312
68,wallie1,close,1500,46,1335
68,wallie1,close,1500,47,1357
68,wallie1,close,1500,48,1376
68,wallie1,close,1500,49,1395
68,wallie1,close,1500,50,1411
68,wallie1,close,1500,51,1426
68,wallie1,close,1500,52,1439
68,wallie1,close,1500,53,1449
68,wallie1,close,1500,54,1460
68,wallie1,close,1500,55,1468
68,wallie1,close,1500,56,1474
68,wallie1,close,1500,57,1480
68,wallie1,close,1500,58,1484
68,wallie1,close,1500,59,1488
68,wallie1,close,1500,60,1491
68,wallie1,close,1500,61,1493
68,wallie1,close,1500,62,1495
68,wallie1,close,1500,63,1496
68,wallie1,close,1500,64,1497
68,wallie1,close,1500,65,1498
68,wallie1,close,1500,66,1499
68,wallie1,close,1500,67,1499
69,wallie1,close,1500,0,0
69,wallie1,close,1500,1,0
69,wallie1,close,1500,2,0
69,wallie1,close,1500,3,0
69,wallie1,close,1500,4,0
